Statistic,Rank,Player,Squad,Value
Touches-Att 3rd,Top 2,Phil Foden,Manchester City,1211.0
Touches-Att 3rd,Top 3,Martin Ødegaard,Arsenal,1173.0
Touches-Att 3rd,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Touches-Att 3rd,Bottom 2,Alisson,Liverpool,0.0
Touches-Att 3rd,Bottom 3,Alphonse Areola,West Ham,0.0
Touches-Att Pen,Top 1,Bukayo Saka,Arsenal,271.0
Touches-Att Pen,Top 2,Alejandro Garnacho,Manchester Utd,248.0
Touches-Att Pen,Top 3,Mohamed Salah,Liverpool,241.0
Touches-Att Pen,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Touches-Att Pen,Bottom 2,Alisson,Liverpool,0.0
Touches-Att Pen,Bottom 3,Alphonse Areola,West Ham,0.0
Touches-Live,Top 1,Rodri,Manchester City,3988.0
Touches-Live,Top 2,Pascal Groß,Brighton,3533.0
Touches-Live,Top 3,Lewis Dunk,Brighton,3481.0
Touches-Live,Bottom 1,Leon Chiwome,Wolves,39.0
Touches-Live,Bottom 2,Neal Maupay,Everton,40.0
Touches-Live,Bottom 3,John Fleck,Sheffield Utd,49.0
Take-Ons-Att,Top 1,Mohammed Kudus,West Ham,221.0
Take-Ons-Att,Top 2,Jeremy Doku,Manchester City,169.0
Take-Ons-Att,Top 3,Eberechi Eze,Crystal Palace,140.0
Take-Ons-Att,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Take-Ons-Att,Bottom 2,Alisson,Liverpool,0.0
Take-Ons-Att,Bottom 3,Andrew Omobamidele,Nott'ham Forest,0.0
Take-Ons-Succ,Top 1,Mohammed Kudus,West Ham,124.0
Take-Ons-Succ,Top 2,Jeremy Doku,Manchester City,87.0
Take-Ons-Succ,Top 3,Bruno Guimarães,Newcastle Utd,72.0
Take-Ons-Succ,Bottom 1,Aaron Cresswell,West Ham,0.0
Take-Ons-Succ,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Take-Ons-Succ,Bottom 3,Adam Webster,Brighton,0.0
Take-Ons-Succ%,Top 1,Alfie Gilchrist,Chelsea,100.0
Take-Ons-Succ%,Top 2,Alphonse Areola,West Ham,100.0
Take-Ons-Succ%,Top 3,André Onana,Manchester Utd,100.0
Take-Ons-Succ%,Bottom 1,Aaron Cresswell,West Ham,0.0
Take-Ons-Succ%,Bottom 2,Adam Webster,Brighton,0.0
Take-Ons-Succ%,Bottom 3,Benoît Badiashile,Chelsea,0.0
Take-Ons-Tkld,Top 1,Mohammed Kudus,West Ham,77.0
Take-Ons-Tkld,Top 2,Raheem Sterling,Chelsea,70.0
Take-Ons-Tkld,Top 3,Dejan Kulusevski,Tottenham,66.0
Take-Ons-Tkld,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Take-Ons-Tkld,Bottom 2,Alfie Gilchrist,Chelsea,0.0
Take-Ons-Tkld,Bottom 3,Alisson,Liverpool,0.0
Take-Ons-Tkld%,Top 1,Aaron Cresswell,West Ham,100.0
Take-Ons-Tkld%,Top 2,Adam Webster,Brighton,100.0
Take-Ons-Tkld%,Top 3,Connor Roberts,Burnley,100.0
Take-Ons-Tkld%,Bottom 1,Alfie Gilchrist,Chelsea,0.0
Take-Ons-Tkld%,Bottom 2,Alphonse Areola,West Ham,0.0
Take-Ons-Tkld%,Bottom 3,André Onana,Manchester Utd,0.0
Carries-Carries,Top 1,Rodri,Manchester City,2513.0
Carries-Carries,Top 2,Lewis Dunk,Brighton,2417.0
Carries-Carries,Top 3,Pascal Groß,Brighton,2284.0
Carries-Carries,Bottom 1,Leon Chiwome,Wolves,16.0
Carries-Carries,Bottom 2,John Fleck,Sheffield Utd,19.0
Carries-Carries,Bottom 3,Neal Maupay,Everton,20.0
Carries-TotDist,Top 1,Rodri,Manchester City,11575.0
Carries-TotDist,Top 2,Rúben Dias,Manchester City,10862.0
Carries-TotDist,Top 3,Lewis Dunk,Brighton,10752.0
Carries-TotDist,Bottom 1,John Fleck,Sheffield Utd,81.0
Carries-TotDist,Bottom 2,Leon Chiwome,Wolves,86.0
Carries-TotDist,Bottom 3,Nathan Fraser,Wolves,88.0
Carries-PrgDist,Top 1,Rúben Dias,Manchester City,6693.0
Carries-PrgDist,Top 2,Rodri,Manchester City,6408.0
Carries-PrgDist,Top 3,Jan Paul van Hecke,Brighton,6274.0
Carries-PrgDist,Bottom 1,Nathan Fraser,Wolves,22.0
Carries-PrgDist,Bottom 2,Leander Dendoncker,Aston Villa,27.0
Carries-PrgDist,Bottom 3,Luke Berry,Luton Town,30.0
Carries-PrgC,Top 1,Jeremy Doku,Manchester City,218.0
Carries-PrgC,Top 2,Alejandro Garnacho,Manchester Utd,178.0
Carries-PrgC,Top 3,Bukayo Saka,Arsenal,155.0
Carries-PrgC,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Carries-PrgC,Bottom 2,Alisson,Liverpool,0.0
Carries-PrgC,Bottom 3,Alphonse Areola,West Ham,0.0
Carries-1/3,Top 1,Rodri,Manchester City,88.0
Carries-1/3,Top 2,Alejandro Garnacho,Manchester Utd,83.0
Carries-1/3,Top 3,Martin Ødegaard,Arsenal,83.0
Carries-1/3,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Carries-1/3,Bottom 2,Alisson,Liverpool,0.0
Carries-1/3,Bottom 3,Andrew Omobamidele,Nott'ham Forest,0.0
Carries-CPA,Top 1,Jeremy Doku,Manchester City,147.0
Carries-CPA,Top 2,Alejandro Garnacho,Manchester Utd,102.0
Carries-CPA,Top 3,Dejan Kulusevski,Tottenham,82.0
Carries-CPA,Bottom 1,Aaron Cresswell,West Ham,0.0
Carries-CPA,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Carries-CPA,Bottom 3,Adam Webster,Brighton,0.0
Carries-Mis,Top 1,Dominic Solanke,Bournemouth,136.0
Carries-Mis,Top 2,Jean-Philippe Mateta,Crystal Palace,89.0
Carries-Mis,Top 3,Nicolas Jackson,Chelsea,87.0
Carries-Mis,Bottom 1,Aaron Cresswell,West Ham,0.0
Carries-Mis,Bottom 2,Alphonse Areola,West Ham,0.0
Carries-Mis,Bottom 3,Angelo Ogbonna,West Ham,0.0
Carries-Dis,Top 1,Mohammed Kudus,West Ham,93.0
Carries-Dis,Top 2,Dominic Solanke,Bournemouth,81.0
Carries-Dis,Top 3,Lucas Paquetá,West Ham,81.0
Carries-Dis,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Carries-Dis,Bottom 2,Alisson,Liverpool,0.0
Carries-Dis,Bottom 3,Alphonse Areola,West Ham,0.0
Receiving-Rec,Top 1,Rodri,Manchester City,3242.0
Receiving-Rec,Top 2,Pascal Groß,Brighton,2736.0
Receiving-Rec,Top 3,Lewis Dunk,Brighton,2681.0
Receiving-Rec,Bottom 1,Leon Chiwome,Wolves,18.0
Receiving-Rec,Bottom 2,John Fleck,Sheffield Utd,27.0
Receiving-Rec,Bottom 3,Neal Maupay,Everton,28.0
Receiving-PrgR,Top 1,Bukayo Saka,Arsenal,508.0
Receiving-PrgR,Top 2,Dejan Kulusevski,Tottenham,388.0
Receiving-PrgR,Top 3,Gabriel Martinelli,Arsenal,345.0
Receiving-PrgR,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Receiving-PrgR,Bottom 2,Alisson,Liverpool,0.0
Receiving-PrgR,Bottom 3,Alphonse Areola,West Ham,0.0
Playing Time-Mn/MP,Top 1,Aaron Ramsdale,Arsenal,90.0
Playing Time-Mn/MP,Top 2,Alisson,Liverpool,90.0
Playing Time-Mn/MP,Top 3,André Onana,Manchester Utd,90.0
Playing Time-Mn/MP,Bottom 1,Matt Ritchie,Newcastle Utd,10.0
Playing Time-Mn/MP,Bottom 2,Nathan Redmond,Burnley,12.0
Playing Time-Mn/MP,Bottom 3,Youssef Chermiti,Everton,12.0
Playing Time-Min%,Top 1,André Onana,Manchester Utd,100.0
Playing Time-Min%,Top 2,Bernd Leno,Fulham,100.0
Playing Time-Min%,Top 3,Guglielmo Vicario,Tottenham,100.0
Playing Time-Min%,Bottom 1,John Fleck,Sheffield Utd,2.7
Playing Time-Min%,Bottom 2,Kalvin Phillips,Manchester City,2.7
Playing Time-Min%,Bottom 3,Ivan Perišić,Tottenham,3.0
Starts-Starts,Top 1,André Onana,Manchester Utd,38.0
Starts-Starts,Top 2,Bernd Leno,Fulham,38.0
Starts-Starts,Top 3,Guglielmo Vicario,Tottenham,38.0
Starts-Starts,Bottom 1,David Ozoh,Crystal Palace,0.0
Starts-Starts,Bottom 2,Ivan Perišić,Tottenham,0.0
Starts-Starts,Bottom 3,Jesurun Rak Sakyi,Crystal Palace,0.0
Starts-Mn/Start,Top 1,Aaron Ramsdale,Arsenal,90.0
Starts-Mn/Start,Top 2,Alisson,Liverpool,90.0
Starts-Mn/Start,Top 3,Andrew Omobamidele,Nott'ham Forest,90.0
Starts-Mn/Start,Bottom 1,Rhys Norrington-Davies,Sheffield Utd,27.0
Starts-Mn/Start,Bottom 2,Benson Manuel,Burnley,45.0
Starts-Mn/Start,Bottom 3,John Fleck,Sheffield Utd,45.0
Starts-Compl,Top 1,André Onana,Manchester Utd,38.0
Starts-Compl,Top 2,Bernd Leno,Fulham,38.0
Starts-Compl,Top 3,Guglielmo Vicario,Tottenham,38.0
Starts-Compl,Bottom 1,Aaron Ramsey,Burnley,0.0
Starts-Compl,Bottom 2,Adam Lallana,Brighton,0.0
Starts-Compl,Bottom 3,Adama Traoré,Fulham,0.0
Subs-Subs,Top 1,Pierre Højbjerg,Tottenham,28.0
Subs-Subs,Top 2,Harvey Elliott,Liverpool,23.0
Subs-Subs,Top 3,Cauley Woodrow,Luton Town,22.0
Subs-Subs,Bottom 1,Aaron Hickey,Brentford,0.0
Subs-Subs,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Subs-Subs,Bottom 3,Abdoulaye Doucouré,Everton,0.0
Subs-Mn/Sub,Top 1,Anthony Gordon,Newcastle Utd,79.0
Subs-Mn/Sub,Top 2,Adam Wharton,Crystal Palace,63.0
Subs-Mn/Sub,Top 3,Daniel Bentley,Wolves,57.0
Subs-Mn/Sub,Bottom 1,Ben Godfrey,Everton,1.0
Subs-Mn/Sub,Bottom 2,Ben Mee,Brentford,1.0
Subs-Mn/Sub,Bottom 3,Ethan Pinnock,Brentford,1.0
Subs-unSub,Top 1,Daniel Bentley,Wolves,33.0
Subs-unSub,Top 2,Thomas Strakosha,Brentford,32.0
Subs-unSub,Top 3,Aaron Ramsdale,Arsenal,31.0
Subs-unSub,Bottom 1,Aaron Hickey,Brentford,0.0
Subs-unSub,Bottom 2,Abdoulaye Doucouré,Everton,0.0
Subs-unSub,Bottom 3,Adam Wharton,Crystal Palace,0.0
Team Success-PPM,Top 1,Thomas Partey,Arsenal,2.71
Team Success-PPM,Top 2,Aaron Ramsdale,Arsenal,2.67
Team Success-PPM,Top 3,Kevin De Bruyne,Manchester City,2.67
Team Success-PPM,Bottom 1,Alex Iwobi,Everton,0.0
Team Success-PPM,Bottom 2,John Fleck,Sheffield Utd,0.0
Team Success-PPM,Bottom 3,Matheus Nunes,Wolves,0.0
Team Success-onG,Top 1,William Saliba,Arsenal,91.0
Team Success-onG,Top 2,Rodri,Manchester City,87.0
Team Success-onG,Top 3,Declan Rice,Arsenal,84.0
Team Success-onG,Bottom 1,Alex Iwobi,Everton,0.0
Team Success-onG,Bottom 2,Benson Manuel,Burnley,0.0
Team Success-onG,Bottom 3,Neal Maupay,Everton,0.0
Team Success-onGA,Top 1,Anel Ahmedhodžić,Sheffield Utd,89.0
Team Success-onGA,Top 2,Thomas Kaminski,Luton Town,85.0
Team Success-onGA,Top 3,Gustavo Hamer,Sheffield Utd,83.0
Team Success-onGA,Bottom 1,Hannibal Mejbri,Manchester Utd,1.0
Team Success-onGA,Bottom 2,Ivan Perišić,Tottenham,1.0
Team Success-onGA,Bottom 3,Reiss Nelson,Arsenal,1.0
Team Success-+/-,Top 1,William Saliba,Arsenal,62.0
Team Success-+/-,Top 2,Rodri,Manchester City,61.0
Team Success-+/-,Top 3,Martin Ødegaard,Arsenal,58.0
Team Success-+/-,Bottom 1,Anel Ahmedhodžić,Sheffield Utd,-61.0
Team Success-+/-,Bottom 2,Auston Trusty,Sheffield Utd,-59.0
Team Success-+/-,Bottom 3,Wes Foderingham,Sheffield Utd,-55.0
Team Success-+/-90,Top 1,Reiss Nelson,Arsenal,3.02
Team Success-+/-90,Top 2,Jakub Kiwior,Arsenal,2.95
Team Success-+/-90,Top 3,Fabio Vieira,Arsenal,2.73
Team Success-+/-90,Bottom 1,Rhys Norrington-Davies,Sheffield Utd,-4.09
Team Success-+/-90,Bottom 2,John Fleck,Sheffield Utd,-3.91
Team Success-+/-90,Bottom 3,Benson Manuel,Burnley,-3.88
Team Success-On-Off,Top 1,Emiliano Martínez,Aston Villa,2.72
Team Success-On-Off,Top 2,Sasa Kalajdzic,Wolves,2.69
Team Success-On-Off,Top 3,Dominic Solanke,Bournemouth,2.57
Team Success-On-Off,Bottom 1,Eric Dier,Tottenham,-3.69
Team Success-On-Off,Bottom 2,Bryan Gil,Tottenham,-3.57
Team Success-On-Off,Bottom 3,Illia Zabarnyi,Bournemouth,-3.43
Team Success (xG)-onxG,Top 1,Virgil van Dijk,Liverpool,82.1
Team Success (xG)-onxG,Top 2,William Saliba,Arsenal,76.1
Team Success (xG)-onxG,Top 3,Bruno Guimarães,Newcastle Utd,74.0
Team Success (xG)-onxG,Bottom 1,Benson Manuel,Burnley,0.5
Team Success (xG)-onxG,Bottom 2,Jaidon Anthony,Bournemouth,0.6
Team Success (xG)-onxG,Bottom 3,Tawanda Chirewa,Wolves,0.8
Team Success (xG)-onxGA,Top 1,Thomas Kaminski,Luton Town,77.6
Team Success (xG)-onxGA,Top 2,André Onana,Manchester Utd,68.9
Team Success (xG)-onxGA,Top 3,Max Kilman,Wolves,67.7
Team Success (xG)-onxGA,Bottom 1,Ivan Perišić,Tottenham,1.5
Team Success (xG)-onxGA,Bottom 2,Neal Maupay,Everton,1.5
Team Success (xG)-onxGA,Bottom 3,Tawanda Chirewa,Wolves,1.5
Team Success (xG)-xG+/-,Top 1,William Saliba,Arsenal,48.2
Team Success (xG)-xG+/-,Top 2,Declan Rice,Arsenal,45.1
Team Success (xG)-xG+/-,Top 3,Martin Ødegaard,Arsenal,43.7
Team Success (xG)-xG+/-,Bottom 1,Thomas Kaminski,Luton Town,-35.4
Team Success (xG)-xG+/-,Bottom 2,Wes Foderingham,Sheffield Utd,-33.2
Team Success (xG)-xG+/-,Bottom 3,Vinicius Souza,Sheffield Utd,-32.7
Team Success (xG)-xG+/-90,Top 1,Fabio Vieira,Arsenal,1.94
Team Success (xG)-xG+/-90,Top 2,Oscar Bobb,Manchester City,1.86
Team Success (xG)-xG+/-90,Top 3,Jakub Kiwior,Arsenal,1.85
Team Success (xG)-xG+/-90,Bottom 1,Benson Manuel,Burnley,-3.0
Team Success (xG)-xG+/-90,Bottom 2,Jaidon Anthony,Bournemouth,-2.27
Team Success (xG)-xG+/-90,Bottom 3,John Egan,Sheffield Utd,-2.06
Team Success (xG)-On-Off,Top 1,James Tarkowski,Everton,29.83
Team Success (xG)-On-Off,Top 2,Sasa Kalajdzic,Wolves,2.16
Team Success (xG)-On-Off,Top 3,Kieffer Moore,Bournemouth,1.97
Team Success (xG)-On-Off,Bottom 1,Jaidon Anthony,Bournemouth,-2.31
Team Success (xG)-On-Off,Bottom 2,Benson Manuel,Burnley,-2.29
Team Success (xG)-On-Off,Bottom 3,Eric Dier,Tottenham,-2.19
Performance-2CrdY,Top 1,Oliver McBurnie,Sheffield Utd,2.0
Performance-2CrdY,Top 2,Anel Ahmedhodžić,Sheffield Utd,1.0
Performance-2CrdY,Top 3,Anthony Gordon,Newcastle Utd,1.0
Performance-2CrdY,Bottom 1,Aaron Cresswell,West Ham,0.0
Performance-2CrdY,Bottom 2,Aaron Hickey,Brentford,0.0
Performance-2CrdY,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Performance-Fls,Top 1,Conor Gallagher,Chelsea,83.0
Performance-Fls,Top 2,João Gomes,Wolves,66.0
Performance-Fls,Top 3,Dejan Kulusevski,Tottenham,54.0
Performance-Fls,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Performance-Fls,Bottom 2,Alex Iwobi,Everton,0.0
Performance-Fls,Bottom 3,Arijanet Muric,Burnley,0.0
Performance-Fld,Top 1,Bruno Guimarães,Newcastle Utd,108.0
Performance-Fld,Top 2,Jordan Ayew,Crystal Palace,94.0
Performance-Fld,Top 3,Mohammed Kudus,West Ham,75.0
Performance-Fld,Bottom 1,Alex Iwobi,Everton,0.0
Performance-Fld,Bottom 2,Alfie Gilchrist,Chelsea,0.0
Performance-Fld,Bottom 3,Caoimhín Kelleher,Liverpool,0.0
Performance-Off,Top 1,Darwin Núñez,Liverpool,33.0
Performance-Off,Top 2,Nicolas Jackson,Chelsea,28.0
Performance-Off,Top 3,Dominic Calvert-Lewin,Everton,24.0
Performance-Off,Bottom 1,Aaron Hickey,Brentford,0.0
Performance-Off,Bottom 2,Aaron Ramsdale,Arsenal,0.0
Performance-Off,Bottom 3,Aaron Wan-Bissaka,Manchester Utd,0.0
Performance-Crs,Top 1,Alfie Doughty,Luton Town,340.0
Performance-Crs,Top 2,Pascal Groß,Brighton,238.0
Performance-Crs,Top 3,Dwight McNeil,Everton,229.0
Performance-Crs,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Performance-Crs,Bottom 2,Alisson,Liverpool,0.0
Performance-Crs,Bottom 3,Alphonse Areola,West Ham,0.0
Performance-Int,Top 1,Antonee Robinson,Fulham,80.0
Performance-Int,Top 2,Lewis Cook,Bournemouth,65.0
Performance-Int,Top 3,Teden Mengi,Luton Town,57.0
Performance-Int,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Performance-Int,Bottom 2,Alisson,Liverpool,0.0
Performance-Int,Bottom 3,Anass Zaroury,Burnley,0.0
Performance-TklW,Top 1,Vinicius Souza,Sheffield Utd,76.0
Performance-TklW,Top 2,João Palhinha,Fulham,75.0
Performance-TklW,Top 3,João Gomes,Wolves,74.0
Performance-TklW,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Performance-TklW,Bottom 2,Alex Iwobi,Everton,0.0
Performance-TklW,Bottom 3,Alexander Isak,Newcastle Utd,0.0
Performance-PKwon,Top 1,Anthony Gordon,Newcastle Utd,6.0
Performance-PKwon,Top 2,Raheem Sterling,Chelsea,3.0
Performance-PKwon,Top 3,Alejandro Garnacho,Manchester Utd,2.0
Performance-PKwon,Bottom 1,Aaron Cresswell,West Ham,0.0
Performance-PKwon,Bottom 2,Aaron Hickey,Brentford,0.0
Performance-PKwon,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Performance-PKcon,Top 1,Issa Diop,Fulham,3.0
Performance-PKcon,Top 2,Adam Smith,Bournemouth,2.0
Performance-PKcon,Top 3,Alphonse Areola,West Ham,2.0
Performance-PKcon,Bottom 1,Aaron Cresswell,West Ham,0.0
Performance-PKcon,Bottom 2,Aaron Hickey,Brentford,0.0
Performance-PKcon,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Performance-OG,Top 1,Antonee Robinson,Fulham,2.0
Performance-OG,Top 2,Daiki Hashioka,Luton Town,2.0
Performance-OG,Top 3,Emiliano Martínez,Aston Villa,2.0
Performance-OG,Bottom 1,Aaron Cresswell,West Ham,0.0
Performance-OG,Bottom 2,Aaron Hickey,Brentford,0.0
Performance-OG,Bottom 3,Aaron Ramsdale,Arsenal,0.0
Performance-Recov,Top 1,Bruno Guimarães,Newcastle Utd,237.0
Performance-Recov,Top 2,Rodri,Manchester City,235.0
Performance-Recov,Top 3,Ryan Christie,Bournemouth,231.0
Performance-Recov,Bottom 1,Ionuț Radu,Bournemouth,0.0
Performance-Recov,Bottom 2,Mark Travers,Bournemouth,1.0
Performance-Recov,Bottom 3,Thomas Strakosha,Brentford,1.0
Aerial Duels-Won,Top 1,James Tarkowski,Everton,140.0
Aerial Duels-Won,Top 2,Virgil van Dijk,Liverpool,140.0
Aerial Duels-Won,Top 3,Dominic Calvert-Lewin,Everton,137.0
Aerial Duels-Won,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Aerial Duels-Won,Bottom 2,Alex Iwobi,Everton,0.0
Aerial Duels-Won,Bottom 3,Anass Zaroury,Burnley,0.0
Aerial Duels-Lost,Top 1,Carlton Morris,Luton Town,169.0
Aerial Duels-Lost,Top 2,Dominic Calvert-Lewin,Everton,144.0
Aerial Duels-Lost,Top 3,Dominic Solanke,Bournemouth,135.0
Aerial Duels-Lost,Bottom 1,Aaron Ramsdale,Arsenal,0.0
Aerial Duels-Lost,Bottom 2,Alex Iwobi,Everton,0.0
Aerial Duels-Lost,Bottom 3,Arijanet Muric,Burnley,0.0
Aerial Duels-Won%,Top 1,Arijanet Muric,Burnley,100.0
Aerial Duels-Won%,Top 2,Bart Verbruggen,Brighton,100.0
Aerial Duels-Won%,Top 3,Caoimhín Kelleher,Liverpool,100.0
Aerial Duels-Won%,Bottom 1,Anass Zaroury,Burnley,0.0
Aerial Duels-Won%,Bottom 2,Andros Townsend,Luton Town,0.0
Aerial Duels-Won%,Bottom 3,Benson Manuel,Burnley,0.0
